Customer_ID,Customer_Name,Loan_Count,Total_Loan_Amt
CUST033891,"Shreya Verma",7,25209950.98
CUST027504,"Riya Kumar",5,20266863.28
CUST026915,"Deepak Joshi",7,20132817.14
CUST099797,"Komal Saini",5,18531116.33
CUST054026,"Shreya Saini",5,18399682.34
CUST027567,"Pawan Patel",5,18346612.78
CUST072944,"Suresh Malhotra",4,18106819.67
CUST094961,"Karan Agarwal",5,18076433.12
CUST050291,"Simran Saini",4,18007028.89
CUST071283,"Vikas Mehta",5,17757450.28
CUST079950,"Shreya Yadav",4,17645131.52
CUST094602,"Simran Rathore",4,17389900.21
CUST041324,"Pawan Jain",4,17355573.27
CUST062097,"Anjali Sharma",6,17269563.71
CUST032453,"Meena Yadav",4,17171572.82
CUST061428,"Anjali Rathore",5,17002462.68
CUST088857,"Suresh Gupta",4,16970409.19
CUST091628,"Deepak Sharma",5,16898588.06
CUST092451,"Arjun Malhotra",5,16848985.38
CUST014440,"Pooja Verma",5,16840377.64
