Branch_ID,Branch_Name,Customer_ID,Customer_Name,Total_Spent,Spending_rank
BR0001,"Jodhpur Branch 1",CUST078255,"Simran Patel",489162.13,1
BR0001,"Jodhpur Branch 1",CUST022100,"Kavita Patel",464031.48,2
BR0001,"Jodhpur Branch 1",CUST024027,"Nikhil Patel",299922.56,3
BR0002,"Mumbai Branch 2",CUST093322,"Meena Choudhary",572599.06,1
BR0002,"Mumbai Branch 2",CUST002648,"Ankit Joshi",372547.14,2
BR0002,"Mumbai Branch 2",CUST064622,"Amit Rathore",356873.82,3
BR0003,"Pune Branch 3",CUST001778,"Rahul Jain",333350.25,1
BR0003,"Pune Branch 3",CUST048343,"Amit Rathore",310681.60,2
BR0003,"Pune Branch 3",CUST074445,"Vikas Sharma",299839.79,3
BR0004,"Pune Branch 4",CUST034216,"Komal Verma",386190.42,1
BR0004,"Pune Branch 4",CUST073563,"Pawan Bansal",374922.36,2
BR0004,"Pune Branch 4",CUST089807,"Manish Verma",313729.27,3
BR0005,"Chennai Branch 5",CUST074269,"Karan Joshi",529278.62,1
BR0005,"Chennai Branch 5",CUST020778,"Suresh Choudhary",504159.20,2
BR0005,"Chennai Branch 5",CUST044442,"Pooja Choudhary",488577.82,3
BR0006,"Jaipur Branch 6",CUST090728,"Deepak Malhotra",461752.64,1
BR0006,"Jaipur Branch 6",CUST053067,"Priya Yadav",400270.93,2
BR0006,"Jaipur Branch 6",CUST084403,"Sneha Agarwal",391720.78,3
BR0007,"Indore Branch 7",CUST045971,"Shreya Agarwal",570269.82,1
BR0007,"Indore Branch 7",CUST062161,"Meena Mehta",432968.79,2
BR0007,"Indore Branch 7",CUST009692,"Pawan Sharma",375619.51,3
BR0008,"Jodhpur Branch 8",CUST023487,"Riya Yadav",546353.72,1
BR0008,"Jodhpur Branch 8",CUST000830,"Deepak Jain",507639.52,2
BR0008,"Jodhpur Branch 8",CUST082551,"Suresh Yadav",446312.42,3
BR0009,"Surat Branch 9",CUST043916,"Priya Joshi",399044.43,1
BR0009,"Surat Branch 9",CUST069719,"Vivek Mehta",391532.98,2
BR0009,"Surat Branch 9",CUST097052,"Nikhil Bansal",380844.49,3
BR0010,"Pune Branch 10",CUST037754,"Rohit Jain",480214.17,1
BR0010,"Pune Branch 10",CUST060665,"Karan Jain",401528.19,2
BR0010,"Pune Branch 10",CUST053302,"Kavita Sharma",363658.94,3
BR0011,"Bengaluru Branch 11",CUST069841,"Vivek Bansal",544872.87,1
BR0011,"Bengaluru Branch 11",CUST068563,"Manish Tiwari",299901.47,2
BR0011,"Bengaluru Branch 11",CUST062920,"Pooja Mishra",299831.59,3
BR0012,"Indore Branch 12",CUST094213,"Pooja Mishra",554650.43,1
BR0012,"Indore Branch 12",CUST018263,"Simran Mehta",496292.25,2
BR0012,"Indore Branch 12",CUST073806,"Rohit Mishra",489467.77,3
BR0013,"Chennai Branch 13",CUST064580,"Anjali Jain",579947.00,1
BR0013,"Chennai Branch 13",CUST003651,"Pooja Sharma",365238.79,2
BR0013,"Chennai Branch 13",CUST077227,"Simran Sharma",346789.28,3
BR0014,"Surat Branch 14",CUST082475,"Kavita Sharma",373585.10,1
BR0014,"Surat Branch 14",CUST098073,"Meena Agarwal",299962.01,2
BR0014,"Surat Branch 14",CUST000609,"Arjun Tiwari",299824.94,3
BR0015,"Surat Branch 15",CUST086250,"Amit Agarwal",454909.51,1
BR0015,"Surat Branch 15",CUST006708,"Arjun Gupta",299872.33,2
BR0015,"Surat Branch 15",CUST034191,"Ankit Rathore",299606.56,3
BR0016,"Jodhpur Branch 16",CUST046739,"Neha Gupta",469100.10,1
BR0016,"Jodhpur Branch 16",CUST072172,"Meena Yadav",370191.68,2
BR0016,"Jodhpur Branch 16",CUST080232,"Manish Mishra",363134.46,3
BR0017,"Hyderabad Branch 17",CUST010751,"Vivek Malhotra",299516.15,1
BR0017,"Hyderabad Branch 17",CUST085647,"Priya Agarwal",298877.80,2
BR0017,"Hyderabad Branch 17",CUST095970,"Amit Tiwari",298725.40,3
BR0018,"Kota Branch 18",CUST001464,"Priya Yadav",434160.92,1
BR0018,"Kota Branch 18",CUST054812,"Manish Kumar",299397.02,2
BR0018,"Kota Branch 18",CUST056664,"Simran Rathore",299076.26,3
BR0019,"Indore Branch 19",CUST023734,"Kavita Yadav",444520.31,1
BR0019,"Indore Branch 19",CUST073256,"Sneha Gupta",329334.89,2
BR0019,"Indore Branch 19",CUST087130,"Neha Bansal",299434.28,3
BR0020,"Kota Branch 20",CUST057449,"Sneha Kumar",370603.59,1
BR0020,"Kota Branch 20",CUST074524,"Neha Malhotra",314348.31,2
BR0020,"Kota Branch 20",CUST079732,"Nikhil Kumar",299433.17,3
BR0021,"Kolkata Branch 21",CUST041221,"Rohit Mehta",539320.49,1
BR0021,"Kolkata Branch 21",CUST024734,"Meena Patel",327145.40,2
BR0021,"Kolkata Branch 21",CUST095430,"Sneha Joshi",299978.03,3
BR0022,"Chandigarh Branch 22",CUST025869,"Pawan Gupta",534086.65,1
BR0022,"Chandigarh Branch 22",CUST005686,"Pawan Gupta",386551.10,2
BR0022,"Chandigarh Branch 22",CUST024515,"Kavita Gupta",339054.99,3
BR0023,"Mumbai Branch 23",CUST049033,"Karan Singh",551192.69,1
BR0023,"Mumbai Branch 23",CUST018259,"Rahul Singh",537062.38,2
BR0023,"Mumbai Branch 23",CUST025918,"Ankit Sharma",334442.99,3
BR0024,"Jaipur Branch 24",CUST017318,"Meena Rathore",555672.66,1
BR0024,"Jaipur Branch 24",CUST066256,"Neha Patel",356895.79,2
BR0024,"Jaipur Branch 24",CUST059673,"Riya Sharma",305128.89,3
BR0025,"Mumbai Branch 25",CUST095224,"Amit Bansal",566240.42,1
BR0025,"Mumbai Branch 25",CUST009141,"Priya Saini",543781.80,2
BR0025,"Mumbai Branch 25",CUST075048,"Priya Rathore",464088.94,3
BR0026,"Bengaluru Branch 26",CUST023793,"Amit Rathore",551365.92,1
BR0026,"Bengaluru Branch 26",CUST041198,"Kavita Malhotra",531976.77,2
BR0026,"Bengaluru Branch 26",CUST040977,"Karan Tiwari",488606.10,3
BR0027,"Alwar Branch 27",CUST098095,"Riya Malhotra",516316.43,1
BR0027,"Alwar Branch 27",CUST018979,"Anjali Tiwari",298642.03,2
BR0027,"Alwar Branch 27",CUST017417,"Deepak Kumar",298622.22,3
BR0028,"Indore Branch 28",CUST008499,"Deepak Mishra",526331.30,1
BR0028,"Indore Branch 28",CUST042214,"Riya Yadav",469202.99,2
BR0028,"Indore Branch 28",CUST082706,"Nikhil Mishra",451039.63,3
BR0029,"Lucknow Branch 29",CUST082694,"Manish Choudhary",454255.52,1
BR0029,"Lucknow Branch 29",CUST042870,"Sneha Mehta",422539.69,2
BR0029,"Lucknow Branch 29",CUST078205,"Arjun Bansal",322861.71,3
BR0030,"Jodhpur Branch 30",CUST070099,"Amit Bansal",436661.76,1
BR0030,"Jodhpur Branch 30",CUST042679,"Vikas Jain",415875.91,2
BR0030,"Jodhpur Branch 30",CUST024704,"Rohit Singh",349049.56,3
BR0031,"Hyderabad Branch 31",CUST061420,"Amit Patel",510600.45,1
BR0031,"Hyderabad Branch 31",CUST038350,"Arjun Verma",485148.56,2
BR0031,"Hyderabad Branch 31",CUST002170,"Sneha Verma",392445.16,3
BR0032,"Kota Branch 32",CUST014737,"Nikhil Yadav",299945.13,1
BR0032,"Kota Branch 32",CUST074174,"Ankit Malhotra",299908.22,2
BR0032,"Kota Branch 32",CUST011919,"Shreya Sharma",299817.28,3
BR0033,"Pune Branch 33",CUST014883,"Riya Malhotra",324150.09,1
BR0033,"Pune Branch 33",CUST009596,"Shreya Sharma",299118.14,2
BR0033,"Pune Branch 33",CUST024671,"Sneha Verma",299073.61,3
BR0034,"Chennai Branch 34",CUST022572,"Neha Choudhary",543505.94,1
BR0034,"Chennai Branch 34",CUST047295,"Suresh Mishra",534369.88,2
BR0034,"Chennai Branch 34",CUST080523,"Suresh Rathore",299127.74,3
BR0035,"Chandigarh Branch 35",CUST063232,"Deepak Rathore",487575.54,1
BR0035,"Chandigarh Branch 35",CUST052866,"Pooja Kumar",406697.02,2
BR0035,"Chandigarh Branch 35",CUST014265,"Suresh Jain",344444.66,3
BR0036,"Chennai Branch 36",CUST018218,"Sneha Malhotra",523957.37,1
