Account_ID,Customer_ID,Account_Number,Account_type,Branch_ID,Opening_Date,Balance,Account_Status
ACC0000001,CUST094773,1018399292,"Fixed deposit",BR0723,2024-09-08,4913807.76,Active
ACC0000002,CUST099018,8095118568,Savings,BR0612,2025-02-21,749566.82,Unknown
ACC0000003,CUST092281,8443461015,"Fixed deposit",BR0524,2022-07-31,3925410.93,Active
ACC0000004,CUST052752,2367782382,Current,BR0580,2024-05-02,3615110.60,Active
ACC0000005,CUST037829,7993602887,Current,BR0691,2023-02-12,2422811.53,Unknown
ACC0000006,CUST095670,8924997229,"Recurring deposit",BR0980,2024-09-25,1274740.00,Unknown
ACC0000007,CUST030504,4485651445,"Recurring deposit",BR0904,2024-01-12,1537727.11,Dormant
ACC0000008,CUST058714,6216230329,Current,BR0723,2025-06-25,606018.22,Unknown
ACC0000009,CUST057935,6923195732,Unknown,BR0124,2024-07-12,905933.41,Unknown
ACC0000010,CUST009522,3773336948,"Fixed deposit",BR0045,2024-03-19,2146534.66,Active
ACC0000011,CUST004569,5283361799,Savings,BR0816,2025-05-12,1492117.07,Unknown
ACC0000012,CUST040820,7516110303,Savings,BR0120,2024-08-16,313646.46,Closed
ACC0000013,CUST089401,5562141198,Current,BR0853,2025-07-30,628440.25,Active
ACC0000014,CUST094815,1382823298,Unknown,BR0247,2023-01-23,138359.11,Closed
ACC0000015,CUST001391,7185978615,"Fixed deposit",BR0528,2023-08-30,4595592.55,Closed
ACC0000016,CUST073977,1983936852,"Recurring deposit",BR0364,2025-02-08,1399607.14,Closed
ACC0000017,CUST030241,9191229555,Savings,BR0917,2024-07-24,4134965.57,Active
ACC0000018,CUST000632,6613675610,Current,BR0798,2023-03-19,2236289.66,Active
ACC0000019,CUST080836,3071938443,Savings,BR0053,2023-10-05,4974049.81,Inactive
ACC0000020,CUST015536,9462177171,Savings,BR0015,2024-06-28,3273341.53,Unknown
ACC0000021,CUST018177,2965499963,"Fixed deposit",BR0594,2023-12-09,1426180.85,Active
ACC0000022,CUST062798,1560874002,Unknown,BR0151,2023-02-28,3986080.26,Inactive
ACC0000023,CUST087682,6179658636,Current,BR0951,2024-01-03,0.00,Closed
ACC0000024,CUST053112,5075092890,Current,BR0503,2023-01-22,647988.77,Inactive
ACC0000025,CUST053788,8818478947,Unknown,BR0512,2023-08-16,46376.32,Dormant
ACC0000026,CUST095512,5996792156,Unknown,BR0026,2025-11-18,1336335.85,Closed
ACC0000027,CUST043388,8836255858,Savings,BR0551,2024-12-19,3925039.93,Active
ACC0000028,CUST084628,5335287090,Savings,BR0282,2025-09-22,4139297.22,Active
ACC0000029,CUST063884,6830816644,"Fixed deposit",BR0286,2023-10-08,3759618.88,Closed
ACC0000030,CUST057305,1427749229,Savings,BR0817,2022-09-21,1205751.42,Active
ACC0000031,CUST049302,1753246367,Current,BR0908,2024-02-06,159110.60,Active
ACC0000032,CUST051891,7369691632,"Recurring deposit",BR0025,2024-12-05,241075.23,Inactive
ACC0000033,CUST017327,5489024963,Unknown,BR0262,2023-04-03,1479592.66,Closed
ACC0000034,CUST076139,2669309206,Unknown,BR0598,NULL,994725.90,Unknown
ACC0000035,CUST098818,2366769733,Unknown,BR0080,2025-01-21,471955.05,Unknown
ACC0000036,CUST059511,1483821688,Savings,BR0490,2022-05-27,506329.08,Active
ACC0000037,CUST068348,9601249610,Salary,BR0517,2023-02-12,1720692.14,Closed
ACC0000038,CUST051437,1393862117,Current,BR0229,2023-02-07,3936114.10,Unknown
ACC0000039,CUST052942,4702338397,"Recurring deposit",BR0043,2024-02-27,2941132.22,Dormant
ACC0000040,CUST018592,9306904446,Savings,BR0686,2024-02-03,50607.08,Unknown
ACC0000041,CUST007456,5091195797,"Fixed deposit",BR0077,2025-06-18,3429011.44,Dormant
ACC0000042,CUST083590,7457055125,Savings,BR0269,2022-12-18,124080.08,Inactive
ACC0000043,CUST004003,4193157585,"Fixed deposit",BR0452,2025-04-26,1247161.90,Unknown
ACC0000044,CUST059809,6432276802,Salary,BR0985,2022-11-17,4438152.81,Active
ACC0000045,CUST074351,9731825220,Current,BR0045,2023-03-28,2147754.66,Unknown
ACC0000046,CUST054605,4722397263,Savings,BR0555,2023-01-22,33288.17,Closed
ACC0000047,CUST042792,6654815975,Savings,BR0950,2022-04-04,2893551.15,Active
ACC0000048,CUST020223,6877150555,Salary,BR0210,2024-02-09,179353.77,Active
ACC0000049,CUST068358,9263046021,"Recurring deposit",BR0703,2023-02-02,3773572.84,Unknown
ACC0000050,CUST085643,3659684654,Savings,BR0873,2025-06-02,3671246.69,Closed
ACC0000051,CUST058037,4131504214,"Recurring deposit",BR0619,2025-05-01,4432326.69,Active
ACC0000052,CUST018018,2259116204,Unknown,BR0196,2025-03-11,3757744.35,Active
ACC0000053,CUST059659,3167894857,"Fixed deposit",BR0810,2025-10-16,1091440.91,Closed
ACC0000054,CUST099226,1570507459,"Recurring deposit",BR0211,2022-06-08,750965.94,Unknown
ACC0000055,CUST064728,3956584133,Unknown,BR0036,2025-03-11,3965322.77,Closed
ACC0000056,CUST017582,2290100412,Salary,BR0021,2022-08-16,4840725.29,Active
ACC0000057,CUST022110,1627734866,Current,BR0940,2025-11-19,3635495.59,Unknown
ACC0000058,CUST088536,6857541072,"Recurring deposit",BR0408,2022-01-27,3514220.69,Active
ACC0000059,CUST040390,1185381726,Salary,BR0197,2024-04-17,1039807.09,Dormant
ACC0000060,CUST056946,4320004118,Unknown,BR0938,2022-05-17,470104.31,Dormant
ACC0000061,CUST077067,1252971503,Unknown,BR0537,2024-10-26,2359732.35,Unknown
ACC0000062,CUST004219,2077905784,Salary,BR0784,2024-12-20,4446680.61,Unknown
ACC0000063,CUST017314,2945608070,"Fixed deposit",BR0350,2024-11-23,3544860.46,Active
ACC0000064,CUST042781,4130046409,Current,BR0572,2022-03-17,2817466.35,Active
ACC0000065,CUST069411,3962374015,Salary,BR0650,2023-12-26,1657790.59,Closed
ACC0000066,CUST027718,5660642465,Unknown,BR0314,NULL,0.00,Active
