Card_ID,Customer_ID,Account_ID,Card_Type,Card_Last_6,Issue_Date,Expiry_Date,Card_Status
CARD0000001,CUST011588,ACC0058314,Debit,540184,2023-04-28,2023-04-28,Unknown
CARD0000002,CUST003047,ACC0045846,Debit,726608,2024-09-10,2024-09-10,Unknown
CARD0000003,CUST018273,ACC0006794,Unknown,693856,2025-03-10,2025-03-10,Dormant
CARD0000004,CUST006778,ACC0048465,Prepaid,824561,2025-04-21,2025-04-21,Unknown
CARD0000005,CUST005074,ACC0122760,Prepaid,855183,2023-06-10,2023-06-10,Active
CARD0000006,CUST065636,ACC0022381,Credit,598389,2023-12-30,2023-12-30,Dormant
CARD0000007,CUST074202,ACC0097179,Credit,815883,2024-09-25,2024-09-25,Active
CARD0000008,CUST043237,ACC0099454,Unknown,566454,2023-11-28,2023-11-28,Unknown
CARD0000009,CUST022174,ACC0011780,Unknown,890115,2024-05-13,2024-05-13,Dormant
CARD0000010,CUST050219,ACC0013050,Credit,547560,2022-04-18,2022-04-18,Inactive
CARD0000011,CUST097602,ACC0092285,Unknown,403813,2022-01-28,2022-01-28,Closed
CARD0000012,CUST037492,ACC0024716,Unknown,412315,2023-07-29,2023-07-29,Active
CARD0000013,CUST019273,ACC0111236,Debit,722629,2024-07-06,2024-07-06,Unknown
CARD0000014,CUST031348,ACC0076058,Credit,802383,2025-01-16,2025-01-16,Closed
CARD0000015,CUST054372,ACC0049807,Debit,614102,2022-02-12,2022-02-12,Active
CARD0000016,CUST022812,ACC0003965,Credit,546964,2022-12-11,2022-12-11,Active
CARD0000017,CUST071871,ACC0048714,Prepaid,633942,2023-01-15,2023-01-15,Unknown
CARD0000018,CUST011030,ACC0022707,Credit,800894,2024-09-08,2024-09-08,Inactive
CARD0000019,CUST050220,ACC0127921,Debit,642873,2024-10-05,2024-10-05,Unknown
CARD0000020,CUST050666,ACC0052910,Debit,502354,2025-06-09,2025-06-09,Closed
CARD0000021,CUST014929,ACC0029923,Credit,907840,2025-04-23,2025-04-23,Active
CARD0000022,CUST004909,ACC0122786,Debit,404579,2022-07-10,2022-07-10,Unknown
CARD0000023,CUST063396,ACC0096452,Prepaid,486985,2022-09-18,2022-09-18,Active
CARD0000024,CUST053560,ACC0068120,Prepaid,788575,2022-02-17,2022-02-17,Closed
CARD0000025,CUST066163,ACC0024441,Credit,585037,2023-08-01,2023-08-01,Active
CARD0000026,CUST093818,ACC0033940,Unknown,812431,2022-02-11,2022-02-11,Inactive
CARD0000027,CUST060858,ACC0042706,Debit,856045,2023-11-14,2023-11-14,Active
CARD0000028,CUST092972,ACC0062515,Credit,890193,2022-06-15,2022-06-15,Dormant
CARD0000029,CUST007245,ACC0045640,Prepaid,640768,2025-11-20,2025-11-20,Active
CARD0000030,CUST083004,ACC0039664,Debit,460862,2024-05-09,2024-05-09,Unknown
CARD0000031,CUST088526,ACC0023343,Debit,616376,2023-12-12,2023-12-12,Closed
CARD0000032,CUST065395,ACC0128803,Prepaid,525827,2022-01-01,2022-01-01,Closed
CARD0000033,CUST089529,ACC0011453,Debit,745240,2025-12-07,0000-00-00,Active
CARD0000034,CUST096641,ACC0033049,Credit,774926,2025-06-21,2025-06-21,Unknown
CARD0000035,CUST029850,ACC0037762,Debit,662759,2023-07-28,2023-07-28,Inactive
CARD0000036,CUST014555,ACC0017994,Prepaid,488431,2022-06-08,2022-06-08,Inactive
CARD0000037,CUST041386,ACC0000071,Unknown,660218,2023-03-20,2023-03-20,Active
CARD0000038,CUST097099,ACC0094957,Unknown,644892,2023-01-01,2023-01-01,Active
CARD0000039,CUST085931,ACC0069750,Debit,807509,2025-12-11,2025-12-11,Unknown
CARD0000040,CUST096243,ACC0047904,Prepaid,901383,2025-04-24,2025-04-24,Active
CARD0000041,CUST001801,ACC0067817,Unknown,781085,2025-07-27,2025-07-27,Active
CARD0000042,CUST053151,ACC0051708,Unknown,838167,2024-11-23,2024-11-23,Dormant
CARD0000043,CUST055898,ACC0036167,Unknown,853617,2023-02-05,2023-02-05,Inactive
CARD0000044,CUST057984,ACC0057544,Credit,450397,2025-05-23,2025-05-23,Active
CARD0000045,CUST022326,ACC0096744,Debit,781749,2024-03-01,2024-03-01,Unknown
CARD0000046,CUST095824,ACC0035712,Credit,613019,2022-08-21,2022-08-21,Active
CARD0000047,CUST098448,ACC0060166,Debit,706767,2023-05-23,2023-05-23,Active
CARD0000048,CUST076252,ACC0076410,Credit,465712,2025-01-08,2025-01-08,Active
CARD0000049,CUST004448,ACC0034527,Credit,417170,2022-04-09,2022-04-09,Unknown
CARD0000050,CUST095255,ACC0107066,Unknown,673248,2024-02-27,2024-02-27,Unknown
CARD0000051,CUST048890,ACC0052577,Credit,960664,2025-03-23,2025-03-23,Inactive
CARD0000052,CUST054022,ACC0051228,Credit,877466,2024-10-20,2024-10-20,Closed
CARD0000053,CUST055199,ACC0095323,Unknown,620313,2022-01-01,2022-01-01,Closed
CARD0000054,CUST041835,ACC0011148,Credit,853835,2024-10-07,0000-00-00,Active
CARD0000055,CUST076641,ACC0068717,Prepaid,586208,2023-03-21,2023-03-21,Unknown
CARD0000056,CUST025071,ACC0065523,Prepaid,584863,2025-05-30,2025-05-30,Inactive
CARD0000057,CUST084380,ACC0063821,Credit,412678,2023-07-24,2023-07-24,Active
CARD0000058,CUST058659,ACC0018933,Debit,745254,2022-02-09,2022-02-09,Unknown
CARD0000059,CUST010502,ACC0101830,Debit,477757,2025-10-11,2025-10-11,Unknown
CARD0000060,CUST000122,ACC0030804,Credit,993289,2023-12-27,2023-12-27,Closed
CARD0000061,CUST098606,ACC0014444,Debit,940078,2024-08-05,2024-08-05,Unknown
CARD0000062,CUST071646,ACC0017901,Credit,580419,2025-10-08,2025-10-08,Unknown
CARD0000063,CUST099900,ACC0098690,Credit,864452,2024-12-08,2024-12-08,Active
CARD0000064,CUST026782,ACC0094868,Credit,501632,2025-11-14,2025-11-14,Active
CARD0000065,CUST067541,ACC0073936,Unknown,733185,2024-02-03,2024-02-03,Dormant
