Employee_ID,Employee_Name,Branch_ID,Designation,Department,Joining_Date,Salary,Employee_Status
EMP000001,"Karan Malhotra",BR0244,"Relationship Manager",Operations,2024-10-05,156903.70,Active
EMP000002,"Suresh Saini",BR0252,Officer,Sales,2022-01-05,123962.95,Unknown
EMP000003,"Anjali Joshi",BR0577,Officer,HR,2023-05-16,137898.76,Unknown
EMP000004,"Rohit Patel",BR0750,Manager,Operations,2025-09-08,171398.82,Active
EMP000005,"Sneha Jain",BR0947,"Assistant Manager",Operations,2023-11-04,146670.49,Active
EMP000006,"Priya Jain",BR0351,"Assistant Manager",Loans,2022-04-05,124288.73,Unknown
EMP000007,"Pooja Rathore",BR0399,Clerk,Operations,2022-06-22,169823.97,Active
EMP000008,"Nikhil Yadav",BR0197,"Senior Officer",Sales,2023-04-10,51438.13,Unknown
EMP000009,"Rahul Agarwal",BR0978,Officer,IT,2024-10-13,96572.86,Unknown
EMP000010,"Rahul Mishra",BR0788,"Relationship Manager",IT,2024-03-28,50225.96,Inactive
EMP000011,"Neha Mishra",BR0276,Officer,"Customer Service",2022-08-12,161527.49,Inactive
EMP000012,"Deepak Bansal",BR0493,Officer,Loans,2024-12-30,67081.99,Active
EMP000013,"Kavita Rathore",BR0212,Clerk,IT,2022-04-11,104156.41,Inactive
EMP000014,"Deepak Verma",BR0514,Clerk,Sales,2024-03-25,46294.00,Active
EMP000015,"Komal Yadav",BR0654,"Senior Officer",HR,0000-00-00,66097.26,Unknown
EMP000016,"Amit Mishra",BR0944,"Relationship Manager","Customer Service",2024-11-18,138371.04,Active
EMP000017,"Sneha Joshi",BR0645,"Assistant Manager",Operations,2022-07-04,35866.65,Inactive
EMP000018,"Arjun Rathore",BR0231,Clerk,Operations,2022-11-16,0.00,Unknown
EMP000019,"Nikhil Gupta",BR0888,"Senior Officer",Finance,2025-02-21,168616.10,Active
EMP000020,"Pooja Patel",BR0471,"Relationship Manager",Finance,2023-08-28,27138.61,Active
EMP000021,"Deepak Malhotra",BR0088,"Relationship Manager",HR,2022-02-20,60262.12,Unknown
EMP000022,"Vikas Verma",BR0305,"Assistant Manager",Sales,2025-06-17,92508.70,Active
EMP000023,"Rohit Kumar",BR0837,Manager,Operations,2024-06-01,32354.96,Inactive
EMP000024,"Arjun Sharma",BR0512,"Assistant Manager",Loans,0000-00-00,100140.70,Unknown
EMP000025,"Arjun Bansal",BR0195,"Senior Officer",Sales,2025-10-08,46026.77,Active
EMP000026,"Rahul Singh",BR0299,Clerk,Sales,2025-09-27,160090.26,Active
EMP000027,"Simran Singh",BR0834,"Relationship Manager","Customer Service",2023-04-27,91712.50,Active
EMP000028,"Sneha Joshi",BR0681,Clerk,Operations,2022-05-10,57211.25,Unknown
EMP000029,"Pooja Mehta",BR0860,"Senior Officer",HR,2023-06-29,169101.05,Unknown
EMP000030,"Anjali Choudhary",BR0973,"Relationship Manager",HR,2024-08-08,34117.05,Unknown
EMP000031,"Rahul Jain",BR0387,"Senior Officer","Customer Service",2025-01-16,130702.56,Unknown
EMP000032,"Anjali Bansal",BR0172,"Assistant Manager",IT,2022-01-18,145159.76,Unknown
EMP000033,"Karan Agarwal",BR0129,Clerk,Loans,2025-01-10,148584.01,Active
EMP000034,"Vivek Rathore",BR0442,"Assistant Manager",Finance,2025-04-30,49662.01,Inactive
EMP000035,"Pawan Jain",BR0919,Manager,HR,2025-07-06,133766.92,Unknown
EMP000036,"Rahul Mehta",BR0362,Manager,Sales,2025-07-19,174855.09,Unknown
EMP000037,"Shreya Agarwal",BR0645,Clerk,"Customer Service",2025-02-14,169448.10,Active
EMP000038,"Anjali Yadav",BR0003,Officer,Operations,2022-03-29,136310.08,Active
EMP000039,"Rahul Sharma",BR0051,"Senior Officer","Customer Service",2022-05-03,0.00,Inactive
EMP000040,"Rohit Yadav",BR0601,Officer,"Customer Service",2024-05-10,66292.43,Inactive
EMP000041,"Komal Joshi",BR0308,Clerk,HR,2022-03-20,47491.53,Inactive
EMP000042,"Deepak Choudhary",BR0225,"Relationship Manager",HR,2024-08-24,50570.49,Active
EMP000043,"Karan Verma",BR0749,"Relationship Manager",Operations,2022-12-06,158491.81,Inactive
EMP000044,"Simran Mehta",BR0906,"Relationship Manager",Sales,2024-12-20,48964.49,Active
EMP000045,"Manish Verma",BR0156,Clerk,"Customer Service",2024-07-03,44628.02,Active
EMP000046,"Nikhil Sharma",BR0267,Clerk,Finance,2023-10-15,66249.11,Active
EMP000047,"Arjun Rathore",BR0727,"Assistant Manager","Customer Service",2022-11-06,81731.18,Unknown
EMP000048,"Rohit Choudhary",BR0323,Officer,Sales,2024-04-16,110325.78,Active
EMP000049,"Meena Choudhary",BR0615,Officer,Sales,2024-11-02,79779.52,Inactive
EMP000050,"Vivek Patel",BR0043,"Senior Officer",Loans,2025-06-24,103404.55,Unknown
EMP000051,"Sneha Singh",BR0665,"Senior Officer",Operations,2024-05-25,118511.39,Inactive
EMP000052,"Vikas Joshi",BR0736,"Senior Officer",Loans,2024-11-05,144443.75,Unknown
EMP000053,"Pooja Yadav",BR0835,Manager,Sales,2024-09-13,24778.99,Unknown
EMP000054,"Priya Sharma",BR0921,Clerk,"Customer Service",2022-02-01,105929.40,Active
