Customer_ID,Customer_Name,Account_Count,Total_Balance
CUST050191,"Vivek Agarwal",7,25213029.35
CUST040555,"Manish Malhotra",6,24572272.6
CUST071799,"Neha Saini",6,24436409.71
CUST065490,"Karan Mishra",6,24259297.15
CUST051494,"Rahul Gupta",7,23937063.52
CUST076523,"Rohit Gupta",7,23136012.69
CUST053414,"Riya Sharma",6,22838475.23
CUST019934,"Komal Tiwari",5,22720970.2
CUST066712,"Amit Joshi",6,22467848.35
CUST091167,"Priya Rathore",7,22027330.81
CUST053625,"Sneha Tiwari",6,21945500.65
CUST035651,"Vikas Malhotra",6,21937690.07
CUST028919,"Rohit Singh",8,21747512.63
CUST031410,"Sneha Mishra",7,21746328.35
CUST012388,"Komal Jain",8,21225738.37
CUST047450,"Rahul Mehta",6,21153345.85
CUST003572,"Neha Singh",7,21138097.5
CUST036202,"Pooja Jain",6,21101207.43
CUST092110,"Arjun Yadav",7,20884077.9
CUST018517,"Rahul Tiwari",7,20830457.61
