Customer_ID,Customer_Name,Account_Count,Loan_Count,Total_Balance,Total_Loan_Amt
CUST033891,"Shreya Verma",1,7,3977572.87,25209950.98
CUST027504,"Riya Kumar",2,5,5866656.56,20266863.28
CUST026915,"Deepak Joshi",1,7,4028107.82,20132817.14
CUST099797,"Komal Saini",2,5,1258898.33,18531116.33
CUST054026,"Shreya Saini",1,5,429540.52,18399682.34
CUST027567,"Pawan Patel",2,5,5729140.27,18346612.78
CUST072944,"Suresh Malhotra",0,4,NULL,18106819.67
CUST094961,"Karan Agarwal",1,5,3334700.98,18076433.12
CUST050291,"Simran Saini",2,4,4728836.55,18007028.89
CUST071283,"Vikas Mehta",0,5,NULL,17757450.28
CUST079950,"Shreya Yadav",0,4,NULL,17645131.52
CUST094602,"Simran Rathore",1,4,2674367.64,17389900.21
CUST041324,"Pawan Jain",0,4,NULL,17355573.27
CUST032453,"Meena Yadav",0,4,NULL,17171572.82
CUST061428,"Anjali Rathore",1,5,1793412.72,17002462.68
CUST088857,"Suresh Gupta",2,4,3247233.68,16970409.19
CUST091628,"Deepak Sharma",0,5,NULL,16898588.06
CUST092451,"Arjun Malhotra",1,5,4743195.39,16848985.38
CUST014440,"Pooja Verma",1,5,561935.93,16840377.64
CUST014350,"Nikhil Choudhary",0,5,NULL,16771312.88
