Customer_ID,Customer_Name,Account_count,Total_Balance,Loan_Count,Total_Loan_Amount
CUST033891,"Shreya Verma",1,3977572.87,7,25209950.98
CUST027504,"Riya Kumar",2,5866656.56,5,20266863.28
CUST026915,"Deepak Joshi",1,4028107.82,7,20132817.14
CUST099797,"Komal Saini",2,1258898.33,5,18531116.33
CUST054026,"Shreya Saini",1,429540.52,5,18399682.34
CUST027567,"Pawan Patel",2,5729140.27,5,18346612.78
CUST072944,"Suresh Malhotra",0,0,4,18106819.67
CUST094961,"Karan Agarwal",1,3334700.98,5,18076433.12
CUST050291,"Simran Saini",2,4728836.55,4,18007028.89
CUST071283,"Vikas Mehta",0,0,5,17757450.28
CUST079950,"Shreya Yadav",0,0,4,17645131.52
CUST094602,"Simran Rathore",1,2674367.64,4,17389900.21
CUST041324,"Pawan Jain",0,0,4,17355573.27
CUST062097,"Anjali Sharma",0,0,6,17269563.71
CUST032453,"Meena Yadav",0,0,4,17171572.82
CUST061428,"Anjali Rathore",1,1793412.72,5,17002462.68
CUST088857,"Suresh Gupta",2,3247233.68,4,16970409.19
CUST091628,"Deepak Sharma",0,0,5,16898588.06
CUST092451,"Arjun Malhotra",1,4743195.39,5,16848985.38
CUST014440,"Pooja Verma",1,561935.93,5,16840377.64
